district,mandal,village,lat,long,date,value
ADILABAD,Adilabad Urban,Adilabad,78.5247,19.6683,01/04/22,10.8
ADILABAD,Bazarhathnoor,Bazarhatnur,78.350833,19.458888,01/04/22,5.57
ADILABAD,Bela,Chandpally,78.848456,19.684431,01/04/22,7.85
ADILABAD,Bheempoor,Arli,78.37931,19.83196,01/04/22,8.75
ADILABAD,Bheempoor,Bheempur,78.417841,19.772188,01/04/22,7.01
ADILABAD,Boath,Boath,78.316527,19.342416,01/04/22,10
ADILABAD,Gudihathnur,Gudihatnoor,78.512222,19.525555,01/04/22,17.9
ADILABAD,Jainad,Bhoraj,78.546472,19.739722,01/04/22,14.45
ADILABAD,Jainad,Jainath,78.64,19.730555,01/04/22,4.8
ADILABAD,Narnoor,Narnoor,78.852654,19.495665,01/04/22,4.01
ADILABAD,Neradigonda,Neradigonda,78.41216,19.29375,01/04/22,9.9
ADILABAD,Talamadugu,Devapur,78.463111,19.612944,01/04/22,8.12
ADILABAD,Talamadugu,Talamadugu,78.3969,19.6334,01/04/22,5.57
ADILABAD,Tamsi,Tamsi,78.4268,19.6811,01/04/22,5.1
ADILABAD,Utnur,Utnoor,78.7685,19.3789,01/04/22,5.6
BHADRADRI,Allapalli,Allapalli,80.475008,17.82975,01/04/22,8.08
BHADRADRI,Allapalli,Markodu,80.51,17.91,01/04/22,6.88
BHADRADRI,Annapureddipalle,Annapureddypalli,80.826104,17.354519,01/04/22,16.42
BHADRADRI,Aswapuram,Ammagaripalli,80.85,17.87,01/04/22,1.74
BHADRADRI,Aswapuram,Aswapuram,80.809241,17.841678,01/04/22,10.23
BHADRADRI,Aswapuram,Aswapuram,80.807296,17.866547,01/04/22,9.72
BHADRADRI,Aswaraopeta,ASWARAOPET (D),81.11,17.24,01/04/22,32.22
BHADRADRI,Aswaraopeta,Aswaraopet (S),81.1106,17.2442,01/04/22,31.99
BHADRADRI,Aswaraopeta,Duradapadu,81.09,17.43,01/04/22,8.58
BHADRADRI,Aswaraopeta,Gummadivalli,81.18,17.42,01/04/22,4.61
BHADRADRI,Aswaraopeta,NANDIPADU,81.13,17.46,01/04/22,4.15
BHADRADRI,Aswaraopeta,Vinayakapuram,81.12,17.35,01/04/22,12.43
BHADRADRI,Bhadrachalam,Bhadrachalam,80.900922,17.666775,01/04/22,9.14
BHADRADRI,Burgampadu,Krishnasagar,80.81,17.71,01/04/22,9.3
BHADRADRI,Burgampadu,M.Banjara,80.7911,17.6447,01/04/22,10.06
BHADRADRI,Cherla,Cherla,80.83124,18.07449,01/04/22,5.58
BHADRADRI,Chandrugonda,Maddukuru,80.68,17.36,01/04/22,22.1
BHADRADRI,Chandrugonda,Ravikampadu,80.6106,17.3986,01/04/22,9.13
BHADRADRI,Cherla,Chinmedisileru,80.85,18.06,01/04/22,8.47
BHADRADRI,Cherla,Chunchupalli,80.608,17.529,01/04/22,5.63
BHADRADRI,Dammapeta,Malkaram,81.067815,17.308863,01/04/22,14.94
BHADRADRI,Dammapeta,Mandalapalli,81.01,17.24,01/04/22,41.79
BHADRADRI,Dammapeta,Patwarigudem,80.96,17.35,01/04/22,13.02
BHADRADRI,Dummugudem,Bandirevu,80.92,17.92,01/04/22,4.79
BHADRADRI,Dummugudem,Dummugudem,80.8937,17.8523,01/04/22,3.28
BHADRADRI,Gundala,Gundala,80.33,17.91,01/04/22,5.33
BHADRADRI,Gundala,Kanchanapalli,80.42,17.79,01/04/22,2.36
BHADRADRI,Gundala,Mamakannu,80.412727,17.865819,01/04/22,7.16
BHADRADRI,Gundala,Sainapalli,80.35,17.96,01/04/22,6.18
BHADRADRI,Gundala,Settupalli,80.347351,17.81182,01/04/22,8.9
BHADRADRI,Julurpad,P. Narsapuram,80.520318,17.438169,01/04/22,8.72
BHADRADRI,Julurpad,Papakollu,80.4828,17.4183,01/04/22,6.31
BHADRADRI,Karakagudem,karakagudem,80.50888,18.085377,01/04/22,3.67
BHADRADRI,Karakagudem,Karakagudem,80.568147,18.034655,01/04/22,6.25
BHADRADRI,Kothagudem,Kothagudem,80.62317,17.548245,01/04/22,22.22
BHADRADRI,Laxmidevipalli,Bangaruchelka,80.6,17.76,01/04/22,3.38
BHADRADRI,Laxmidevipalli,Laxmidevipalli,80.619,17.573,01/04/22,6.31
