district,mandal,village,lat,long,date,value
ADILABAD,Adilabad Urban,Adilabad,78.5247,19.6683,01/08/22,2.75
ADILABAD,Bazarhathnoor,Bazarhatnur,78.350833,19.458888,01/08/22,2.37
ADILABAD,Bela,Chandpally,78.848456,19.684431,01/08/22,6.5
ADILABAD,Bheempoor,Arli,78.37931,19.83196,01/08/22,5.85
ADILABAD,Bheempoor,Bheempur,78.417841,19.772188,01/08/22,3.03
ADILABAD,Boath,Boath,78.316527,19.342416,01/08/22,3.5
ADILABAD,Gudihathnur,Gudihatnoor,78.512222,19.525555,01/08/22,2.5
ADILABAD,Jainad,Bhoraj,78.546472,19.739722,01/08/22,1.85
ADILABAD,Jainad,Jainath,78.64,19.730555,01/08/22,1.15
ADILABAD,Narnoor,Narnoor,78.852654,19.495665,01/08/22,0.09
ADILABAD,Neradigonda,Neradigonda,78.41216,19.29375,01/08/22,3.2
ADILABAD,Talamadugu,Devapur,78.463111,19.612944,01/08/22,2.95
ADILABAD,Talamadugu,Talamadugu,78.3969,19.6334,01/08/22,2.4
ADILABAD,Tamsi,Tamsi,78.4268,19.6811,01/08/22,1.7
ADILABAD,Utnur,Utnoor,78.7685,19.3789,01/08/22,2
BHADRADRI,Allapalli,Allapalli,80.475008,17.82975,01/08/22,3.5
BHADRADRI,Allapalli,Markodu,80.51,17.91,01/08/22,2.85
BHADRADRI,Annapureddipalle,Annapureddypalli,80.826104,17.354519,01/08/22,13.79
BHADRADRI,Aswapuram,Ammagaripalli,80.85,17.87,01/08/22,1.1
BHADRADRI,Aswapuram,Aswapuram,80.809241,17.841678,01/08/22,3.68
BHADRADRI,Aswapuram,Aswapuram,80.807296,17.866547,01/08/22,3.27
BHADRADRI,Aswaraopeta,ASWARAOPET (D),81.11,17.24,01/08/22,31.26
BHADRADRI,Aswaraopeta,Aswaraopet (S),81.1106,17.2442,01/08/22,28.36
BHADRADRI,Aswaraopeta,Duradapadu,81.09,17.43,01/08/22,5.41
BHADRADRI,Aswaraopeta,Gummadivalli,81.18,17.42,01/08/22,1.22
BHADRADRI,Aswaraopeta,NANDIPADU,81.13,17.46,01/08/22,1.08
BHADRADRI,Aswaraopeta,Vinayakapuram,81.12,17.35,01/08/22,11.66
BHADRADRI,Bhadrachalam,Bhadrachalam,80.900922,17.666775,01/08/22,3.29
BHADRADRI,Burgampadu,Krishnasagar,80.81,17.71,01/08/22,4.25
BHADRADRI,Burgampadu,M.Banjara,80.7911,17.6447,01/08/22,4.65
BHADRADRI,Cherla,Cherla,80.83124,18.07449,01/08/22,0.61
BHADRADRI,Chandrugonda,Maddukuru,80.68,17.36,01/08/22,20.94
BHADRADRI,Chandrugonda,Ravikampadu,80.6106,17.3986,01/08/22,4.88
BHADRADRI,Cherla,Chinmedisileru,80.85,18.06,01/08/22,2.5
BHADRADRI,Cherla,Chunchupalli,80.608,17.529,01/08/22,2.55
BHADRADRI,Dammapeta,Malkaram,81.067815,17.308863,01/08/22,10.02
BHADRADRI,Dammapeta,Mandalapalli,81.01,17.24,01/08/22,40.7
BHADRADRI,Dammapeta,Patwarigudem,80.96,17.35,01/08/22,9.12
BHADRADRI,Dummugudem,Bandirevu,80.92,17.92,01/08/22,1.83
BHADRADRI,Dummugudem,Dummugudem,80.8937,17.8523,01/08/22,0.39
BHADRADRI,Gundala,Gundala,80.33,17.91,01/08/22,0
BHADRADRI,Gundala,Kanchanapalli,80.42,17.79,01/08/22,1.5
BHADRADRI,Gundala,Mamakannu,80.412727,17.865819,01/08/22,5.23
