district,mandal,village,lat,long,date,value
ADILABAD,Adilabad,Adilabad,19.668299,78.5247,01/01/22,5.65
ADILABAD,Bazarhatnur,Bazarhatnur,19.458888,78.350833,01/01/22,3.67
ADILABAD,Bela,Chandpally,19.684431,78.848456,01/01/22,7.72
ADILABAD,Bheempur,Arli,19.83196,78.37931,01/01/22,7.45
ADILABAD,Bheempur,Bheempur,19.772188,78.417841,01/01/22,5.67
ADILABAD,Boath,Boath,19.342416,78.316527,01/01/22,5.9
ADILABAD,Gudihatnoor,Gudihatnoor,19.525555,78.512222,01/01/22,5.3
ADILABAD,Jainath,Bhoraj,19.739722,78.546472,01/01/22,11.32
ADILABAD,Jainath,Jainath,19.730555,78.64,01/01/22,3.05
ADILABAD,Narnoor,Narnoor,19.495665,78.852654,01/01/22,2.67
ADILABAD,Neradigonda,Neradigonda,19.29375,78.41216,01/01/22,8.65
ADILABAD,Talamadugu,Devapur,19.612944,78.463111,01/01/22,6.15
ADILABAD,Talamadugu,Talamadugu,19.6334,78.396899,01/01/22,4.12
ADILABAD,Tamsi,Tamsi,19.6811,78.426799,01/01/22,3.51
ADILABAD,Utnoor,Utnoor,19.367777,78.782777,01/01/22,4.5
BHADRADRI,Allapalli,Allapalli,17.82975,80.475008,01/01/22,6.64
BHADRADRI,Allapalli,Markodu,17.91444,80.507666,01/01/22,6.12
BHADRADRI,Annapureddypalli,Annapureddypalli,17.355422,80.82226,01/01/22,13.08
BHADRADRI,Ashwapuram,Ammagaripalli,17.865166,80.85051,01/01/22,1.93
BHADRADRI,Ashwapuram,Aswapuram,17.847626,80.803745,01/01/22,5.33
BHADRADRI,Ashwapuram,Aswapuram,17.835944,80.825667,01/01/22,4.02
BHADRADRI,Ashwapuram,ASWARAOPET (D),17.243444,81.109888,01/01/22,30.66
BHADRADRI,Aswaraopet (S),Aswaraopet (S),17.244199,81.110599,01/01/22,30.65
BHADRADRI,Aswaraopeta,Duradapadu,17.43166,81.090311,01/01/22,7.36
BHADRADRI,Aswaraopeta,Gummadivalli,17.416861,81.178305,01/01/22,2.22
BHADRADRI,Aswaraopeta,NANDIPADU,17.455835,81.128705,01/01/22,2.6
BHADRADRI,Aswaraopeta,Vinayakapuram,17.34561,81.12147,01/01/22,9.17
BHADRADRI,Bhadrachalam,Bhadrachalam,17.666775,80.900922,01/01/22,6.09
BHADRADRI,Burgampad,Krishnasagar,17.709524,80.811524,01/01/22,7.46
BHADRADRI,Burgampad,M.Banjara,17.6447,80.7911,01/01/22,7.15
BHADRADRI,Chandrugonda,Cherla,18.07449,80.83124,01/01/22,4.06
BHADRADRI,Chandrugonda,Maddukuru,17.356111,80.675527,01/01/22,17.49
BHADRADRI,Chandrugonda,Ravikampadu,17.3986,80.6106,01/01/22,6.56
BHADRADRI,Cherla,Chinmedisileru,18.061388,80.853833,01/01/22,5.87
BHADRADRI,Chunchupalli,Chunchupalli,17.536377,80.612734,01/01/22,3.46
BHADRADRI,Dammapeta,Malkaram,17.310587,81.038879,01/01/22,8.77
BHADRADRI,Dammapeta,Mandalapalli,17.235972,81.008986,01/01/22,39.65
BHADRADRI,Dammapeta,Patwarigudem,17.346638,80.9629722,01/01/22,10.36
BHADRADRI,Dummugudem,Bandirevu,17.921194,80.9155,01/01/22,3.79
BHADRADRI,Dummugudem,Dummugudem,17.8523,80.8937,01/01/22,1.53
BHADRADRI,Gundala,Gundala,17.906,80.33055,01/01/22,3.66
BHADRADRI,Gundala,Kanchanapalli,17.792225,80.42243,01/01/22,3.78
BHADRADRI,Gundala,Mamakannu,17.865819,80.412727,01/01/22,6.6
BHADRADRI,Gundala,Sainapalli,17.95777,80.34505,01/01/22,3.64
BHADRADRI,Gundala,Settupalli,17.810477,80.303583,01/01/22,2.78
BHADRADRI,Julurpadu,P. Narsapuram,17.44733,80.526444,01/01/22,8.28
BHADRADRI,Julurpadu,Papakollu,17.4183,80.4828,01/01/22,3.57
BHADRADRI,Kalvala nagaram*,karakagudem,18.014193,80.619051,01/01/22,2.97
BHADRADRI,Karakagudem,Karakagudem,18.034655,80.568147,01/01/22,1.79
BHADRADRI,Kothagudem,Kothagudem,17.544858,80.61844,01/01/22,21.35
BHADRADRI,Laxmidevipalli,Bangaruchelka,17.756305,80.602444,01/01/22,3.24
BHADRADRI,Laxmidevipalli,Laxmidevipalli,17.563756,80.624863,01/01/22,5.47
BHADRADRI,Manuguru,Manuguru,17.955072,80.83008,01/01/22,5.76
BHADRADRI,Manuguru,Pagideru,17.970111,80.73386,01/01/22,2.13
BHADRADRI,Mulakalapalli,Mulakalapalli (D),17.5036,80.831899,01/01/22,8.2
BHADRADRI,Mulakalapalli,MULAKALAPALLI (S),17.419666,80.481383,01/01/22,9.93
BHADRADRI,Mulakalapalli,N. Jaganadhapuram,17.4343055,80.86475,01/01/22,9.02
BHADRADRI,Mulakalapalli,Pusugudem            (Pakeer thanda),17.541869,80.763222,01/01/22,3.51
BHADRADRI,Mulakalapalli,Thimmampet,17.541769,80.9327222,01/01/22,4.56
BHADRADRI,Palwancha,Danthalaboru,17.586194,80.839666,01/01/22,5.32
BHADRADRI,Palwancha,Pathapalwancha,17.540083,80.503527,01/01/22,3.76
BHADRADRI,Palwancha,REGELLA,17.949174,80.576312,01/01/22,1.77
