district,mandal,village,lat,long,date,value
ADILABAD,Adilabad Urban,Adilabad,78.5247,19.6683,01/11/22,4.01
ADILABAD,Bazarhathnoor,Bazarhatnur,78.350833,19.458888,01/11/22,3.5
ADILABAD,Bela,Chandpally,78.848456,19.684431,01/11/22,7.45
ADILABAD,Bheempoor,Arli,78.37931,19.83196,01/11/22,6.9
ADILABAD,Bheempoor,Bheempur,78.417841,19.772188,01/11/22,4.5
ADILABAD,Boath,Boath,78.316527,19.342416,01/11/22,5.5
ADILABAD,Gudihathnur,Gudihatnoor,78.512222,19.525555,01/11/22,5.1
ADILABAD,Jainad,Bhoraj,78.546472,19.739722,01/11/22,9.25
ADILABAD,Jainad,Jainath,78.64,19.730555,01/11/22,1.7
ADILABAD,Narnoor,Narnoor,78.852654,19.495665,01/11/22,1.85
ADILABAD,Neradigonda,Neradigonda,78.41216,19.29375,01/11/22,6.7
ADILABAD,Talamadugu,Devapur,78.463111,19.612944,01/11/22,5.2
ADILABAD,Talamadugu,Talamadugu,78.3969,19.6334,01/11/22,4.35
ADILABAD,Tamsi,Tamsi,78.4268,19.6811,01/11/22,3.05
ADILABAD,Utnur,Utnoor,78.7685,19.3789,01/11/22,3.15
BHADRADRI,Allapalli,Allapalli,80.475008,17.82975,01/11/22,4.17
BHADRADRI,Allapalli,Markodu,80.51,17.91,01/11/22,4.99
BHADRADRI,Annapureddipalle,Annapureddypalli,80.826104,17.354519,01/11/22,13.86
BHADRADRI,Aswapuram,Ammagaripalli,80.85,17.87,01/11/22,2.82
BHADRADRI,Aswapuram,Aswapuram,80.809241,17.841678,01/11/22,4.18
BHADRADRI,Aswapuram,Aswapuram,80.807296,17.866547,01/11/22,4.45
BHADRADRI,Aswaraopeta,ASWARAOPET (D),81.11,17.24,01/11/22,31.43
BHADRADRI,Aswaraopeta,Aswaraopet (S),81.1106,17.2442,01/11/22,31.4
BHADRADRI,Aswaraopeta,Duradapadu,81.09,17.43,01/11/22,2.98
BHADRADRI,Aswaraopeta,Gummadivalli,81.18,17.42,01/11/22,1.75
BHADRADRI,Aswaraopeta,NANDIPADU,81.13,17.46,01/11/22,1.58
BHADRADRI,Aswaraopeta,Vinayakapuram,81.12,17.35,01/11/22,10.74
BHADRADRI,Bhadrachalam,Bhadrachalam,80.900922,17.666775,01/11/22,4.6
BHADRADRI,Burgampadu,Krishnasagar,80.81,17.71,01/11/22,5.72
BHADRADRI,Burgampadu,M.Banjara,80.7911,17.6447,01/11/22,5.99
BHADRADRI,Cherla,Cherla,80.83124,18.07449,01/11/22,1.64
BHADRADRI,Chandrugonda,Maddukuru,80.68,17.36,01/11/22,20.45
BHADRADRI,Chandrugonda,Ravikampadu,80.6106,17.3986,01/11/22,5.39
BHADRADRI,Cherla,Chinmedisileru,80.85,18.06,01/11/22,4.1
BHADRADRI,Cherla,Chunchupalli,80.608,17.529,01/11/22,3.99
BHADRADRI,Dammapeta,Malkaram,81.067815,17.308863,01/11/22,7.92
BHADRADRI,Dammapeta,Mandalapalli,81.01,17.24,01/11/22,38.81
BHADRADRI,Dammapeta,Patwarigudem,80.96,17.35,01/11/22,6.29
BHADRADRI,Dummugudem,Bandirevu,80.92,17.92,01/11/22,2.02
BHADRADRI,Dummugudem,Dummugudem,80.8937,17.8523,01/11/22,0.66
BHADRADRI,Gundala,Gundala,80.33,17.91,01/11/22,0.39
BHADRADRI,Gundala,Kanchanapalli,80.42,17.79,01/11/22,4.25
BHADRADRI,Gundala,Mamakannu,80.412727,17.865819,01/11/22,4.73
BHADRADRI,Gundala,Sainapalli,80.35,17.96,01/11/22,2.3
BHADRADRI,Gundala,Settupalli,80.347351,17.81182,01/11/22,2.09
BHADRADRI,Julurpad,P. Narsapuram,80.520318,17.438169,01/11/22,6.7
BHADRADRI,Julurpad,Papakollu,80.4828,17.4183,01/11/22,2.06
BHADRADRI,Karakagudem,karakagudem,80.50888,18.085377,01/11/22,1.84
BHADRADRI,Karakagudem,Karakagudem,80.568147,18.034655,01/11/22,0.92
BHADRADRI,Kothagudem,Kothagudem,80.62317,17.548245,01/11/22,21.85
BHADRADRI,Laxmidevipalli,Bangaruchelka,80.6,17.76,01/11/22,4.3
